2026-03-23 16:31:04 | week=5 sw=c level=9   | phase1_store_results         |    6.29s | 15 results
2026-03-23 16:31:12 | week=5 sw=c level=3   | engine_call                  |   19.88s | 148 games
2026-03-23 16:31:20 | week=5 sw=c level=3   | phase1_store_results         |    7.48s | 148 results
2026-03-23 16:31:25 | week=5 sw=c level=9   | phase2_stat_accum            |    5.20s | 15 results
2026-03-23 16:31:26 | week=5 sw=c level=9   | phase2_position_usage        |    0.54s | 
2026-03-23 16:31:28 | week=5 sw=c level=9   | phase2_stamina_injuries      |    1.99s | 
2026-03-23 16:31:43 | week=5 sw=c level=3   | phase2_stat_accum            |   15.56s | 148 results
2026-03-23 16:31:48 | week=5 sw=c level=3   | phase2_position_usage        |    4.62s | 
2026-03-23 16:32:01 | week=5 sw=c level=3   | phase2_stamina_injuries      |   12.69s | 
2026-03-23 16:32:01 | week=5 sw=c level=    | global_stamina_recovery      |    0.18s | 
2026-03-23 16:32:02 | week=5 sw=d level=9   | load_subweek_state           |    0.47s | 208 players
2026-03-23 16:32:02 | week=5 sw=d level=9   | build_payloads               |    0.00s | 4 games
2026-03-23 16:32:06 | week=5 sw=d level=9   | engine_call                  |    4.60s | 4 games
2026-03-23 16:32:08 | week=5 sw=d level=9   | phase1_store_results         |    1.61s | 4 results
2026-03-23 16:32:10 | week=5 sw=d level=9   | phase2_stat_accum            |    1.20s | 4 results
2026-03-23 16:32:10 | week=5 sw=d level=9   | phase2_position_usage        |    0.25s | 
2026-03-23 16:32:11 | week=5 sw=d level=9   | phase2_stamina_injuries      |    0.66s | 
2026-03-23 16:32:11 | week=5 sw=d level=    | global_stamina_recovery      |    0.20s | 
2026-03-23 16:32:11 | week=5 sw=  level=    | build_week_payloads          |  177.13s | all levels
2026-03-23 16:32:14 | week=5 sw=  level=    | weekly_tick_injuries         |    0.46s | 
2026-03-23 16:32:24 | week=5 sw=  level=    | weekly_books                 |   10.69s | 
2026-03-23 16:32:25 | week=5 sw=  level=    | weekly_waivers               |    0.24s | 
2026-03-23 16:32:25 | week=5 sw=  level=    | weekly_fa_auction            |    0.24s | 
2026-03-23 16:32:43 | week=5 sw=  level=    | weekly_listed_positions      |   18.35s | 
2026-03-23 16:32:43 | week=5 sw=  level=    | weekly_processing_total      |   29.98s | 
2026-03-23 16:32:48 | week=6 sw=  level=    | load_week_cache              |    3.53s | 340 teams
2026-03-23 16:32:49 | week=6 sw=a level=9   | load_subweek_state           |    0.81s | 780 players
2026-03-23 16:32:49 | week=6 sw=a level=9   | build_payloads               |    0.12s | 15 games
2026-03-23 16:32:49 | week=6 sw=a level=3   | load_subweek_state           |    1.33s | 8196 players
2026-03-23 16:32:49 | week=6 sw=a level=3   | build_payloads               |    0.38s | 143 games
2026-03-23 16:32:55 | week=6 sw=a level=9   | engine_call                  |    5.81s | 15 games
2026-03-23 16:33:01 | week=6 sw=a level=9   | phase1_store_results         |    6.40s | 15 results
2026-03-23 16:33:10 | week=6 sw=a level=3   | engine_call                  |   20.36s | 143 games
2026-03-23 16:33:17 | week=6 sw=a level=3   | phase1_store_results         |    7.19s | 143 results
2026-03-23 16:33:23 | week=6 sw=a level=9   | phase2_stat_accum            |    5.47s | 15 results
2026-03-23 16:33:24 | week=6 sw=a level=9   | phase2_position_usage        |    0.55s | 
2026-03-23 16:33:25 | week=6 sw=a level=9   | phase2_stamina_injuries      |    1.67s | 
2026-03-23 16:33:41 | week=6 sw=a level=3   | phase2_stat_accum            |   15.39s | 143 results
2026-03-23 16:33:45 | week=6 sw=a level=3   | phase2_position_usage        |    4.43s | 
2026-03-23 16:33:57 | week=6 sw=a level=3   | phase2_stamina_injuries      |   11.32s | 
2026-03-23 16:33:57 | week=6 sw=a level=    | global_stamina_recovery      |    0.17s | 
2026-03-23 16:33:57 | week=6 sw=b level=9   | load_subweek_state           |    0.53s | 780 players
2026-03-23 16:33:57 | week=6 sw=b level=9   | build_payloads               |    0.02s | 15 games
2026-03-23 16:34:03 | week=6 sw=b level=9   | engine_call                  |    5.56s | 15 games
2026-03-23 16:34:09 | week=6 sw=b level=9   | phase1_store_results         |    5.72s | 15 results
2026-03-23 16:34:13 | week=6 sw=b level=9   | phase2_stat_accum            |    2.28s | 15 results
2026-03-23 16:34:14 | week=6 sw=b level=9   | phase2_position_usage        |    0.55s | 
2026-03-23 16:34:15 | week=6 sw=b level=9   | phase2_stamina_injuries      |    1.61s | 
2026-03-23 16:34:16 | week=6 sw=b level=    | global_stamina_recovery      |    0.16s | 
2026-03-23 16:34:17 | week=6 sw=c level=9   | load_subweek_state           |    0.99s | 676 players
2026-03-23 16:34:17 | week=6 sw=c level=9   | build_payloads               |    0.01s | 13 games
2026-03-23 16:34:17 | week=6 sw=c level=3   | load_subweek_state           |    1.36s | 8406 players
2026-03-23 16:34:17 | week=6 sw=c level=3   | build_payloads               |    0.30s | 147 games
2026-03-23 16:34:22 | week=6 sw=c level=9   | engine_call                  |    5.27s | 13 games
2026-03-23 16:34:28 | week=6 sw=c level=9   | phase1_store_results         |    5.44s | 13 results
2026-03-23 16:34:39 | week=6 sw=c level=3   | engine_call                  |   21.56s | 147 games
2026-03-23 16:34:47 | week=6 sw=c level=3   | phase1_store_results         |    7.56s | 147 results
